chr	start	stop
RPS8	chr1	45240923	45244451
PLK3	chr1	45265897	45271662
PTCH2	chr1	45285516	45308735
EIF2B3	chr1	45316450	45452282
UROD	chr1	45477819	45481247
PRDX1	chr1	45976708	45988719
AKR1A1	chr1	46016215	46035721
NASP	chr1	46049518	46084566
GPBP1L1	chr1	46092976	46153785
POMGNT1	chr1	46654354	46685977
LRRC41	chr1	46726868	46769280
UQCRH	chr1	46769303	46782448
MKNK1	chr1	47023090	47082515
ATPAF1	chr1	47098409	47139539
EFCAB14	chr1	47124366	47184824
TAL1	chr1	47681962	47697892
CMPK1	chr1	47799469	47844511
SPATA6	chr1	48761044	48937845
BEND5	chr1	49193195	49242641
ELAVL4	chr1	50513686	50669458
FAF1	chr1	50905150	51425935
CDKN2C	chr1	51426417	51440305
RNF11	chr1	51701943	51739127
EPS15	chr1	51819935	51985000
OSBPL9	chr1	52042851	52254889
NRD1	chr1	52254863	52344477
TXNDC12	chr1	52485803	52521843
BTF3L4	chr1	52521797	52556388
PRPF38A	chr1	52870236	52886511
ZCCHC11	chr1	52873954	53019159
GPX7	chr1	53068044	53074723
ZYG11B	chr1	53192126	53293014
ECHDC2	chr1	53361656	53392884
SCP2	chr1	53392901	53517375
C1orf123	chr1	53679771	53686289
MAGOH	chr1	53692564	53704282
HSPB11	chr1	54382247	54411602
TMEM59	chr1	54497347	54519177
MRPL37	chr1	54649714	54691137
SSBP3	chr1	54691105	54879152
DHCR24	chr1	55315306	55352891
USP24	chr1	55532032	55680786
PPAP2B	chr1	56960419	57110974
OMA1	chr1	58881056	59012474
MYSM1	chr1	59120411	59165764
JUN	chr1	59246465	59249785
RP11-436K8.1	chr1	61125303	61291256
NFIA	chr1	61330931	61928465
TM2D1	chr1	62146718	62191095
USP1	chr1	62901968	62917475
DOCK7	chr1	62920399	63153969
ATG4C	chr1	63249806	63331184
ITGB3BP	chr1	63906441	64059392
PGM1	chr1	64058947	64125916
JAK1	chr1	65298912	65432187
LEPROT	chr1	65886270	65901690
PDE4B	chr1	66258197	66840259
SGIP1	chr1	66999066	67213982
MIER1	chr1	67390578	67454302
SERBP1	chr1	67873493	67896098
GADD45A	chr1	68150744	68154021
GNG12	chr1	68167149	68299150
WLS	chr1	68564142	68698803
SRSF11	chr1	70671365	70718735
ANKRD13C	chr1	70726271	70820417
ZRANB2	chr1	71528974	71546980
NEGR1	chr1	71861623	72748417
TYW3	chr1	75198836	75232362
ACADM	chr1	76190036	76253260
RABGGTB	chr1	76251879	76260764
ST6GALNAC3	chr1	76540404	77100286
PIGK	chr1	77554675	77685115
ZZZ3	chr1	78028101	78149104
USP33	chr1	78161672	78225537
FUBP1	chr1	78409740	78444794
DNAJB4	chr1	78444859	78483648
RP11-386I14.4	chr1	78470030	78470238
IFI44L	chr1	79085607	79111830
IFI44	chr1	79115481	79129763
TTLL7	chr1	84330711	84464833
PRKACB	chr1	84543745	84704181
RPF1	chr1	84944942	84963473
GNG5	chr1	84964008	84972248
CTBS	chr1	85015289	85040163
SSX2IP	chr1	85109390	85156486
C1orf52	chr1	85715639	85725355
BCL10	chr1	85731931	85742773
DDAH1	chr1	85784164	86043933
CYR61	chr1	86046444	86049645
ZNHIT6	chr1	86115106	86174116
ODF2L	chr1	86814344	86862023
SH3GLB1	chr1	87170259	87213867
SEP15	chr1	87328132	87380107
HS2ST1	chr1	87380331	87602334
LMO4	chr1	87794151	87814606
PKN2	chr1	89149905	89301938
GTF2B	chr1	89318615	89357627
RBMXL1	chr1	89445139	89458643
GBP1	chr1	89518002	89531043
GBP2	chr1	89571815	89616139
GBP4	chr1	89646831	89664615
LRRC8B	chr1	89990395	90063423
LRRC8C	chr1	90098631	90235462
LRRC8D	chr1	90286573	90402170
ZNF326	chr1	90460671	90501090
ZNF644	chr1	91380859	91487829
RPAP2	chr1	92764522	92867613
EVI5	chr1	92974253	93257961
RPL5	chr1	93297582	93307481
MTF2	chr1	93544792	93604638
TMED5	chr1	93615299	93646285
DR1	chr1	93811445	93835055
FNBP1L	chr1	93913688	94020218
BCAR3	chr1	94027347	94312706
DNTTIP2	chr1	94333373	94345474
GCLM	chr1	94350761	94374966
ABCD3	chr1	94883933	94984222
F3	chr1	94994781	95007356
CNN3	chr1	95362507	95392834
ALG14	chr1	95439963	95538501
PTBP2	chr1	97187221	97289294
DPYD	chr1	97543299	98386605
SNX7	chr1	99127236	99226056
AGL	chr1	100315640	100389579
SLC35A3	chr1	100435345	100492535
TRMT13	chr1	100598706	100616053
DBT	chr1	100652475	100715390
RTCA	chr1	100731763	100758325
EXTL2	chr1	101337943	101361554
SLC30A7	chr1	101361632	101447309
DPH5	chr1	101455179	101491644
COL11A1	chr1	103342023	103574052
RNPC3	chr1	104068313	104097861
SLC25A24	chr1	108676658	108743471
FAM102B	chr1	109102711	109187522
PRPF38B	chr1	109234945	109244425
STXBP3	chr1	109289296	109352148
GPSM2	chr1	109417972	109477167
CLCC1	chr1	109472130	109506111
WDR47	chr1	109512836	109584850
TAF13	chr1	109605108	109618624
TMEM167B	chr1	109632425	109639556
SARS	chr1	109756540	109780791
CELSR2	chr1	109792641	109818372
PSRC1	chr1	109822178	109825808
SORT1	chr1	109852192	109940573
PSMA5	chr1	109941653	109969062
GNAI3	chr1	110091233	110136975
AMPD2	chr1	110158726	110174673
GSTM4	chr1	110198703	110208118
GSTM2	chr1	110210644	110252171
GSTM3	chr1	110276554	110284384
CSF1	chr1	110452864	110473614
AHCYL1	chr1	110527308	110566357
LAMTOR5	chr1	110943871	110950564
CD53	chr1	111415775	111442550
LRIF1	chr1	111489807	111506701
DRAM2	chr1	111659955	111682838
CEPT1	chr1	111682249	111727724
PIFO	chr1	111888910	111895635
ATP5F1	chr1	111991486	112005395
C1orf162	chr1	112016414	112021134
ADORA3	chr1	112025970	112106584
RAP1A	chr1	112084840	112259313
CTTNBP2NL	chr1	112938803	113006078
ST7L	chr1	113066140	113163447
CAPZA1	chr1	113161795	113214241
RHOC	chr1	113243728	113250056
SLC16A1	chr1	113454469	113499635
MAGI3	chr1	113933371	114228545
RSBN1	chr1	114304454	114355098
HIPK1	chr1	114471814	114520426
OLFML3	chr1	114522063	114524876
TRIM33	chr1	114935399	115053781
BCAS2	chr1	115110178	115124260
NRAS	chr1	115247090	115259515
CSDE1	chr1	115259534	115301297
SIKE1	chr1	115312100	115323306
ATP1A1	chr1	116915290	116952883
CD58	chr1	117057157	117113661
CD2	chr1	117297007	117311850
PTGFRN	chr1	117452679	117532980
TTF2	chr1	117602925	117650075
MAN1A2	chr1	117910071	118071494
GDAP2	chr1	118406107	118472253
PHGDH	chr1	120202421	120286838
NOTCH2	chr1	120454176	120612240
FCGR1B	chr1	120926979	120935937
SRGAP2C	chr1	121107124	121129949
RP11-343N15.5	chr1	121133256	121134581
SRGAP2B	chr1	143913615	144094424
RP11-640M9.1	chr1	144456138	144521970
PDE4DIP	chr1	144836157	145076186
SEC22B	chr1	145096220	145116922
NBPF10	chr1	145289772	145370303
TXNIP	chr1	145438469	145442635
POLR3GL	chr1	145456236	145470388
LIX1L	chr1	145477085	145501669
RBM8A	chr1	145507598	145513536
ANKRD35	chr1	145549230	145568526
RNF115	chr1	145611036	145696218
PRKAB2	chr1	146626685	146644129
CHD1L	chr1	146714291	146767443
RP11-14N7.2	chr1	148928322	148951595
FCGR1A	chr1	149754227	149764074
BOLA1	chr1	149859440	149872351
SV2A	chr1	149874870	149889434
SF3B4	chr1	149895209	149900236
OTUD7B	chr1	149909705	149982625
VPS45	chr1	150039369	150117505
PLEKHO1	chr1	150121373	150136916
ANP32E	chr1	150190717	150208504
APH1A	chr1	150237804	150241980
C1orf54	chr1	150240600	150253327
MRPS21	chr1	150266289	150281414
PRPF3	chr1	150293925	150325671
RPRD2	chr1	150335567	150449042
MCL1	chr1	150547032	150552066
ENSA	chr1	150573327	150602088
CTSS	chr1	150702672	150738433
ARNT	chr1	150782181	150849244
SETDB1	chr1	150898739	150937213
CERS2	chr1	150933059	150947479
C1orf56	chr1	151020216	151024462
CDC42SE1	chr1	151023447	151042801
MLLT11	chr1	151030234	151040970
TNFAIP8L2	chr1	151129105	151132225
SCNM1	chr1	151129140	151142773
VPS72	chr1	151142463	151167797
PIP5K1A	chr1	151170425	151222012
PSMD4	chr1	151227179	151239955
PI4KB	chr1	151264273	151300191
RFX5	chr1	151313116	151319833
PSMB4	chr1	151372010	151374420
POGZ	chr1	151375200	151431941
SNX27	chr1	151584541	151671567
MRPL9	chr1	151732119	151736040
THEM4	chr1	151846060	151882284
S100A10	chr1	151955391	151966866
S100A11	chr1	152004982	152020383
S100A9	chr1	153330330	153333503
S100A8	chr1	153362508	153363664
S100A6	chr1	153507075	153508720
S100A4	chr1	153516089	153522612
S100A16	chr1	153579362	153585621
S100A13	chr1	153591263	153606568
S100A1	chr1	153600402	153604513
CHTOP	chr1	153606525	153618782
SNAPIN	chr1	153631130	153634306
ILF2	chr1	153634512	153643524
INTS3	chr1	153700543	153746555
GATAD2B	chr1	153777201	153895451
DENND4B	chr1	153901977	153919172
SLC39A1	chr1	153931575	153940188
JTB	chr1	153946745	153950164
RAB13	chr1	153954127	153958834
RPS27	chr1	153963235	153964626
TPM3	chr1	154127784	154167124
C1orf43	chr1	154179182	154193104
UBAP2L	chr1	154192655	154243986
HAX1	chr1	154244987	154248351
IL6R	chr1	154377669	154441926
UBE2Q1	chr1	154521053	154531504
ADAR	chr1	154554538	154600475
KCNN3	chr1	154669931	154842756
PMVK	chr1	154897210	154909467
PBXIP1	chr1	154916552	154928599
SHC1	chr1	154934774	154946871
CKS1B	chr1	154947129	154951725
FLAD1	chr1	154955814	154965587
ADAM15	chr1	155023042	155035252
EFNA1	chr1	155099936	155107333
SLC50A1	chr1	155107820	155111329
DPM3	chr1	155112367	155113071
KRTCAP2	chr1	155141884	155145951
MTX1	chr1	155178490	155183615
SCAMP3	chr1	155225770	155232221
FDPS	chr1	155278539	155290457
ASH1L	chr1	155305059	155532598
YY1AP1	chr1	155629237	155658791
DAP3	chr1	155657751	155708801
GON4L	chr1	155719508	155829191
SYT11	chr1	155829300	155854990
RIT1	chr1	155867599	155881195
KIAA0907	chr1	155882834	155904191
ARHGEF2	chr1	155916630	155976861
SSR2	chr1	155978839	155990750
LAMTOR2	chr1	156024543	156028301
MEX3A	chr1	156041804	156051789
LMNA	chr1	156052364	156109880
PMF1	chr1	156182784	156212874
PAQR6	chr1	156213206	156217881
CCT3	chr1	156278759	156337664
C1orf61	chr1	156374042	156400493
MEF2D	chr1	156433519	156470620
APOA1BP	chr1	156561554	156564091
GPATCH4	chr1	156564279	156571288
BCAN	chr1	156611182	156629324
NES	chr1	156638555	156647189
ISG20L2	chr1	156691683	156698591
MRPL24	chr1	156707095	156711382
HDGF	chr1	156711899	156736717
PRCC	chr1	156720402	156770607
ETV3	chr1	157090983	157108266
MNDA	chr1	158801107	158819296
IFI16	chr1	158969758	159024945
CADM3	chr1	159141399	159173103
FCER1A	chr1	159259504	159278014
DUSP23	chr1	159750722	159752333
TAGLN2	chr1	159887897	159895522
PIGM	chr1	159997462	160001783
KCNJ10	chr1	160007257	160040038
IGSF8	chr1	160061130	160068733
ATP1A2	chr1	160085549	160113381
PEA15	chr1	160175127	160185166
DCAF8	chr1	160187254	160254920
PEX19	chr1	160246602	160256138
COPA	chr1	160259063	160313190
NCSTN	chr1	160313062	160328742
CD84	chr1	160510885	160549306
CD48	chr1	160648536	160681641
TSTD1	chr1	161007421	161008780
ARHGAP30	chr1	161016736	161039760
PFDN2	chr1	161070346	161087901
NIT1	chr1	161087876	161095235
UFC1	chr1	161122566	161128646
B4GALT3	chr1	161141100	161147287
NDUFS2	chr1	161166894	161184185
FCER1G	chr1	161185024	161190489
SDHC	chr1	161284047	161332984
C1orf192	chr1	161334521	161337664
FCGR2A	chr1	161475220	161493803
HSPA6	chr1	161494036	161496681
FCGR3A	chr1	161511549	161600917
FCGR2B	chr1	161551101	161648444
DUSP12	chr1	161719548	161727028
ATF6	chr1	161736084	161933860
OLFML2B	chr1	161952982	161993644
NOS1AP	chr1	162039564	162353321
UHMK1	chr1	162467041	162499419
UAP1	chr1	162531323	162569627
DDR2	chr1	162601163	162757190
HSD17B7	chr1	162760492	162782607
RGS5	chr1	163080911	163291577
PBX1	chr1	164524821	164868533
MGST3	chr1	165600098	165631033
ALDH9A1	chr1	165631453	165668100
TMCO1	chr1	165696032	165796992
POGK	chr1	166808681	166825581
ILDR2	chr1	166882443	166944719
POU2F1	chr1	167190066	167396582
CD247	chr1	167399877	167487847
CREG1	chr1	167498914	167523004
RCSD1	chr1	167599330	167675486
MPZL1	chr1	167690429	167761156
MPC2	chr1	167885967	167906278
DCAF6	chr1	167905021	168045081
TIPRL	chr1	168148171	168169950
SFT2D2	chr1	168195176	168222263
ATP1B1	chr1	169074935	169101960
NME7	chr1	169101769	169337205
BLZF1	chr1	169337208	169365778
CCDC181	chr1	169364108	169429907
SLC19A2	chr1	169433147	169455241
SELL	chr1	169659808	169680839
KIFAP3	chr1	169890467	170054349
PRRX1	chr1	170631869	170708560
PRRC2C	chr1	171454651	171562650
VAMP4	chr1	171669300	171711387
DNM3	chr1	171810621	172387606
PIGC	chr1	172339329	172413230
SUCO	chr1	172501489	172580971
PRDX6	chr1	173446405	173457946
KLHL20	chr1	173684080	173755840
GAS5	chr1	173833038	173838020
ZBTB37	chr1	173837220	173872687
RC3H1	chr1	173900352	173991435
RABGAP1L	chr1	174128548	174964445
CACYBP	chr1	174968300	174980851
MRPS14	chr1	174979925	174992561
TNR	chr1	175284330	175712906
RFWD2	chr1	175913967	176176629
ASTN1	chr1	176826438	177134109
RASAL2	chr1	178062864	178448644
RALGPS2	chr1	178694300	178889238
FAM20B	chr1	178994939	179045697
TOR3A	chr1	179050512	179067158
ABL2	chr1	179068462	179198819
SOAT1	chr1	179262925	179327815
TOR1AIP2	chr1	179809102	179846938
TOR1AIP1	chr1	179851177	179894135
CEP350	chr1	179923873	180084015
QSOX1	chr1	180123969	180173165
ACBD6	chr1	180244515	180472089
XPR1	chr1	180601140	180859387
STX6	chr1	180941861	180992047
MR1	chr1	181003067	181031074
IER5	chr1	181057638	181059977
GLUL	chr1	182350839	182361341
RGS16	chr1	182567758	182573543
NPL	chr1	182758428	182799519
DHX9	chr1	182808504	182856886
LAMC1	chr1	182992595	183114727
SMG7	chr1	183441351	183567381
NCF2	chr1	183524698	183560011
ARPC5	chr1	183592401	183604892
RGL1	chr1	183605220	183897665
TSEN15	chr1	184020811	184043346
C1orf21	chr1	184356192	184598154
EDEM3	chr1	184659365	184724047
FAM129A	chr1	184759858	184943682
RNF2	chr1	185014496	185071740
IVNS1ABP	chr1	185265520	185286461
TPR	chr1	186280784	186344825
C1orf27	chr1	186344890	186390510
PDC	chr1	186412698	186430254
PTGS2	chr1	186640923	186649559
PLA2G4A	chr1	186798085	186958113
BRINP3	chr1	190066792	190446759
RGS1	chr1	192544857	192549161
RGS2	chr1	192778169	192781403
UCHL5	chr1	192981380	193029237
TROVE2	chr1	193028552	193060907
GLRX2	chr1	193065598	193075244
CDC73	chr1	193091147	193223031
ASPM	chr1	197053258	197115824
ZBTB41	chr1	197122810	197169672
CRB1	chr1	197170592	197447585
DENND1B	chr1	197473878	197744826
NEK7	chr1	198126093	198291550
PTPRC	chr1	198607801	198726545
MIR181A1HG	chr1	198776622	198906558
ZNF281	chr1	200374068	200379184
DDX59	chr1	200593024	200639097
CAMSAP2	chr1	200708686	200829832
KIF21B	chr1	200938520	200992828
TMEM9	chr1	201103900	201140702
PHLDA3	chr1	201434620	201438365
CSRP1	chr1	201452658	201478584
NAV1	chr1	201592411	201796102
IPO9	chr1	201798269	201853422
SHISA4	chr1	201857808	201861434
TIMM17A	chr1	201924619	201939789
RNPEP	chr1	201951500	201975275
GPR37L1	chr1	202091986	202102720
ARL8A	chr1	202102532	202113869
PTPN7	chr1	202116141	202130716
UBE2T	chr1	202300785	202311108
PPP1R12B	chr1	202317827	202561834
KDM5B	chr1	202696526	202778598
RABIF	chr1	202848085	202858263
ADIPOR1	chr1	202909951	202927700
CYB5R1	chr1	202930997	202936408
TMEM183A	chr1	202976514	202993976
CHI3L1	chr1	203148059	203155877
BTG2	chr1	203274619	203278730
ATP2B4	chr1	203595689	203713209
ZC3H11A	chr1	203764782	203823252
ZBED6	chr1	203765437	203769686
SNRPE	chr1	203830731	203839678
PPP1R15B	chr1	204372515	204380919
MDM4	chr1	204485511	204542871
LRRN2	chr1	204586298	204654861
NFASC	chr1	204797779	204991950
DSTYK	chr1	205111632	205180727
CDK18	chr1	205473723	205501921
ELK4	chr1	205577071	205601090
NUCKS1	chr1	205681947	205719404
RAB7L1	chr1	205737114	205744588
SRGAP2	chr1	206516200	206637783
RASSF5	chr1	206680879	206762616
EIF2D	chr1	206744620	206785904
MAPKAPK2	chr1	206858289	206907628
CD55	chr1	207494853	207534311
CD46	chr1	207925402	207968858
G0S2	chr1	209848765	209849733
TRAF3IP3	chr1	209929377	209955668
RCOR3	chr1	211431719	211489727
SLC30A1	chr1	211744910	211752084
LPGAT1	chr1	211916799	212004114
PPP2R5A	chr1	212458879	212535200
TMEM206	chr1	212537273	212588243
NENF	chr1	212606229	212619714
ATF3	chr1	212738676	212794119
NSL1	chr1	212899495	212965124
TATDN3	chr1	212965170	212989968
ANGEL2	chr1	213165524	213189168
RPS6KC1	chr1	213224589	213448116
PROX1	chr1	214156524	214214595
SMYD2	chr1	214454445	214510474
CENPF	chr1	214776538	214837931
KCTD3	chr1	215740735	215795149
ESRRG	chr1	216676588	217311097
GPATCH2	chr1	217600334	217804424
RRP15	chr1	218458629	218511325
LYPLAL1	chr1	219347186	219386207
EPRS	chr1	220141943	220220000
BPNT1	chr1	220230824	220263804
IARS2	chr1	220267444	220321380
RAB3GAP2	chr1	220321635	220445796
DUSP10	chr1	221874766	221915518
MIA3	chr1	222791428	222841354
AIDA	chr1	222841355	222886552
BROX	chr1	222885895	222908538
DISP1	chr1	222988406	223179337
TLR5	chr1	223282748	223316624
CAPN2	chr1	223889295	223963720
TP53BP2	chr1	223967601	224033674
FBXO28	chr1	224301789	224349749
DEGS1	chr1	224363458	224381143
CNIH4	chr1	224544552	224567161
WDR26	chr1	224572845	224624735
LBR	chr1	225589204	225616627
ENAH	chr1	225674537	225840844
SRP9	chr1	225965531	225978168
EPHX1	chr1	225997794	226033260
PYCR2	chr1	226107578	226111978
SDE2	chr1	226170403	226187032
H3F3A	chr1	226249552	226259702
ACBD3	chr1	226332380	226374431
PARP1	chr1	226548392	226595780
ITPKB	chr1	226819391	226927024
CDC42BPA	chr1	227177566	227506175
ZNF678	chr1	227751244	227865144
SNAP47	chr1	227916240	227968927
ARF1	chr1	228270361	228286912
C1orf35	chr1	228288427	228293112
MRPL55	chr1	228294380	228297013
GUK1	chr1	228327663	228336685
RNF187	chr1	228674762	228683467
RHOU	chr1	228870824	228882416
RAB4A	chr1	229406822	229441641
CCSAP	chr1	229456758	229479041
NUP133	chr1	229577045	229644103
RP11-552D4.1	chr1	230138477	230142909
GALNT2	chr1	230193536	230417870
COG2	chr1	230778235	230829728
AGT	chr1	230838269	230850043
C1orf198	chr1	230972865	231005335
ARV1	chr1	231114727	231136341
FAM89A	chr1	231154704	231175992
C1orf131	chr1	231359509	231376933
GNPAT	chr1	231376953	231413719
SPRTN	chr1	231472850	231490769
EGLN1	chr1	231499497	231560790
